,City,Date,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
401,stefan cel mare,1546905600,46.98,26.52,17.6,78.0,40.0,6.93
402,quang ngai,1546908681,15.12,108.8,68.55,98.0,92.0,2.62
403,ninove,1546906800,50.84,4.02,48.2,87.0,40.0,16.11
404,kamenka,1546908682,53.19,44.05,5.78,82.0,48.0,6.53
405,waitati,1546908682,-45.75,170.57,66.35,72.0,8.0,3.18
406,sirhind,1546908682,30.62,76.39,44.3,94.0,56.0,5.97
407,skalistyy,,,,,,,
408,buala,1546908683,-8.15,159.59,82.32,96.0,48.0,6.31
409,faanui,1546908683,-16.48,-151.75,83.31,100.0,68.0,8.66
410,kita,1546907400,35.76,139.74,37.33,52.0,0.0,4.7
411,pimentel,1546908684,-3.7,-45.5,78.9,83.0,88.0,2.95
412,praya,1546907400,-8.71,116.27,82.4,83.0,20.0,3.36
413,yulara,1546905600,-25.24,130.99,89.6,9.0,0.0,9.17
414,alta floresta,1546908684,-9.87,-56.08,70.26,99.0,80.0,1.16
415,sandwick,1546905000,54.57,-2.89,41.0,80.0,92.0,20.8
416,ellensburg,1546907640,47.0,-120.55,38.26,88.0,90.0,4.7
417,sandpoint,1546907700,48.28,-116.55,32.99,100.0,40.0,7.2
418,araouane,1546908685,18.9,-3.53,57.8,37.0,36.0,6.42
419,cravo norte,1546908685,6.3,-70.2,88.89,42.0,8.0,10.89
420,hervey bay,1546905600,-25.3,152.85,82.4,61.0,75.0,17.22
421,lianran,1546905600,24.92,102.47,44.6,100.0,90.0,4.47
422,cabedelo,1546905600,-6.97,-34.84,78.8,83.0,40.0,8.05
423,rosarito,1546905600,4.91,-75.23,73.4,94.0,75.0,3.36
424,akhmeta,1546907400,42.03,45.21,35.6,80.0,0.0,16.11
425,louisbourg,,,,,,,
426,saint paul,1546907760,44.95,-93.1,34.39,84.0,75.0,10.0
427,santa cruz,1546906200,36.97,-122.03,60.31,72.0,75.0,3.36
428,abu samrah,1546908688,35.3,37.18,38.04,95.0,12.0,6.31
429,ormond beach,1546906500,29.29,-81.06,63.88,82.0,1.0,3.36
430,aksha,1546908689,50.28,113.29,-22.44,30.0,0.0,2.73
431,sitka,1546908689,37.17,-99.65,52.67,28.0,0.0,8.88
432,mumford,1546908689,5.26,-0.76,77.33,95.0,36.0,6.2
433,broome,1546906800,52.47,1.45,44.6,75.0,56.0,17.22
434,grand gaube,1546905600,-20.01,57.66,80.6,88.0,40.0,11.41
435,portland,1546905180,45.52,-122.67,43.34,76.0,75.0,6.93
436,ouallam,1546908690,14.32,2.08,60.09,28.0,0.0,10.22
437,askiz,1546908690,53.13,90.53,-12.14,55.0,12.0,3.29
438,tavda,1546908690,58.04,65.27,5.24,76.0,20.0,8.1
439,bilibino,1546908691,68.06,166.44,4.65,58.0,0.0,8.66
440,bloomfield,1546907700,40.75,-92.42,41.77,87.0,1.0,11.56
441,kaduy,1546908691,59.2,37.15,23.42,94.0,88.0,11.45
442,la ronge,1546905600,55.1,-105.3,6.8,84.0,90.0,17.22
443,malhargarh,1546908692,24.29,74.99,46.05,93.0,0.0,6.87
444,sao joao da barra,1546908692,-21.64,-41.05,79.35,98.0,44.0,25.55
445,mandalgovi,1546908692,45.76,106.27,-14.16,56.0,0.0,7.87
446,lianzhou,1546908692,24.79,112.38,39.75,98.0,92.0,2.62
447,sinjar,1546908693,35.59,37.0,38.04,95.0,12.0,6.31
448,balkanabat,1546908693,39.51,54.36,35.52,96.0,24.0,4.74
449,grand centre,,,,,,,
450,serenje,1546908693,-13.23,30.22,62.75,99.0,88.0,3.4
451,ibra,1546908693,22.69,58.55,50.87,97.0,0.0,2.17
452,roros,1546906800,62.57,11.38,26.6,100.0,80.0,8.05
453,nizhnevartovsk,1546907400,60.93,76.58,6.8,84.0,75.0,6.71
454,poli,1546908694,8.48,13.24,58.56,71.0,20.0,2.62
455,sakaiminato,1546905600,35.55,133.23,41.83,75.0,75.0,5.82
456,tres arroyos,1546908695,-38.38,-60.28,75.21,44.0,0.0,4.52
457,nguiu,,,,,,,
458,kimparana,1546908697,12.83,-4.92,62.25,35.0,0.0,6.98
459,vicuna,,,,,,,
460,komsomolskiy,1546908697,67.55,63.78,-15.33,67.0,24.0,5.41
461,dunedin,1546908697,-45.87,170.5,66.35,72.0,8.0,3.18
462,guaraniacu,1546908697,-25.1,-52.88,74.99,85.0,88.0,6.64
463,beringovskiy,1546908447,63.05,179.32,20.76,89.0,88.0,32.14
464,severo-kurilsk,1546908698,50.68,156.12,27.74,100.0,64.0,23.31
465,vostok,1546908698,46.45,135.83,-4.89,77.0,44.0,2.39
466,porto seguro,1546905600,-16.44,-39.06,78.8,78.0,0.0,5.82
467,palmer,1546906680,61.6,-149.11,-0.3,83.0,90.0,2.73
468,tupik,1546908699,54.43,119.94,-15.33,62.0,12.0,6.42
469,uruzgan,1546908699,32.93,66.63,25.4,95.0,92.0,1.5
470,tete,1546905600,-16.16,33.59,75.2,100.0,75.0,3.06
471,linhares,1546908700,-19.38,-40.06,76.97,77.0,8.0,9.33
472,necochea,1546908700,-38.55,-58.74,72.2,79.0,0.0,2.39
473,boyolangu,1546908700,-8.09,111.9,73.86,94.0,32.0,3.96
474,kismayo,,,,,,,
475,talakan,1546908700,50.29,130.28,-20.06,57.0,0.0,4.85
476,egvekinot,1546908701,66.32,-179.17,-43.86,0.0,0.0,2.73
477,uarini,1546908701,-2.98,-65.16,80.39,86.0,12.0,4.52
478,nara,1546907400,34.68,135.8,44.58,66.0,75.0,4.7
479,ajdabiya,1546908702,30.75,20.22,43.71,92.0,12.0,2.84
480,atessa,1546905000,42.07,14.45,39.2,86.0,12.0,4.7
481,lianyuan,1546908702,27.69,111.67,34.22,96.0,92.0,3.96
482,umm lajj,1546908702,25.02,37.27,53.75,100.0,12.0,8.66
483,seoul,1546907400,37.57,126.98,20.89,57.0,1.0,1.12
484,walvis bay,1546905600,-22.95,14.51,60.8,82.0,8.0,3.36
485,dingle,1546908703,11.0,122.67,76.7,82.0,44.0,17.27
486,ruy barbosa,1546908703,-12.29,-40.5,75.53,58.0,36.0,9.66
487,parabel,1546908703,58.71,81.5,13.43,75.0,80.0,11.01
488,ilo,1546908704,-17.65,-71.34,65.4,94.0,12.0,3.18
489,yumen,1546908704,40.29,97.04,-3.5,64.0,24.0,7.09
490,itoman,1546907400,26.12,127.67,66.29,68.0,75.0,5.82
491,havoysund,1546906800,71.0,24.66,30.2,100.0,68.0,19.46
492,beisfjord,1546906800,68.38,17.6,33.8,86.0,88.0,24.16
493,bennington,1546905420,42.88,-73.2,19.74,48.0,75.0,2.17
494,kitakata,1546908705,37.67,139.86,29.72,91.0,88.0,2.62
495,mocuba,1546908705,-16.84,36.99,74.67,99.0,92.0,3.4
496,omsukchan,1546908705,62.53,155.8,-21.05,82.0,76.0,2.39
497,lichuan,1546908706,30.3,108.94,29.94,88.0,92.0,2.62
498,sayat,1546905600,38.78,63.88,46.4,93.0,75.0,4.7
499,cervo,1546908706,-22.19,-46.24,67.43,86.0,64.0,1.05
500,adre,1546908706,13.47,22.2,64.55,27.0,0.0,13.91
501,waingapu,1546908707,-9.65,120.26,78.0,99.0,20.0,4.18
502,boca raton,1546906500,26.36,-80.08,72.36,67.0,1.0,5.82
503,tikhvin,1546908707,59.64,33.53,25.62,93.0,92.0,5.86
504,gravdal,1546906800,59.79,5.78,40.68,87.0,32.0,25.28
505,urdoma,1546908708,61.74,48.55,23.24,82.0,88.0,12.35
506,poya,1546908708,-21.35,165.16,77.1,96.0,12.0,16.04
507,naze,1546908708,5.43,7.07,72.6,72.0,0.0,3.51
508,werda,1546906800,50.44,12.3,35.37,80.0,92.0,18.34
509,toulepleu,,,,,,,
510,oranjemund,1546908709,-28.55,16.43,63.06,94.0,92.0,6.87
511,elk river,1546907760,45.3,-93.57,34.41,86.0,1.0,3.36
512,concordia,1546908709,-31.4,-58.02,70.13,89.0,12.0,2.95
513,zakamensk,1546908709,50.38,103.29,-26.58,35.0,0.0,4.74
514,puerto madryn,1546908710,-42.77,-65.04,77.33,43.0,32.0,26.66
515,tommot,1546908710,58.97,126.27,-5.21,64.0,48.0,3.62
516,westport,1546908710,53.8,-9.52,45.65,97.0,76.0,8.55
517,coos bay,1546908565,43.37,-124.22,46.1,83.0,36.0,4.97
518,houma,1546908710,35.63,111.36,13.2,77.0,64.0,2.06
519,carupano,1546908711,10.67,-63.26,77.82,87.0,44.0,12.24
520,haradok,1546908711,55.46,29.99,12.53,85.0,80.0,13.24
521,ypsonas,1546905600,34.69,32.96,43.39,87.0,0.0,4.7
522,amealco,1546904460,20.18,-100.15,73.4,31.0,75.0,11.41
523,nivala,1546908711,63.93,24.96,22.79,92.0,56.0,5.19
524,puerto escondido,1546904700,15.86,-97.07,80.6,74.0,40.0,3.62
525,nouadhibou,1546905600,20.93,-17.03,62.6,51.0,0.0,12.75
526,cazaje,,,,,,,
527,pousat,,,,,,,
528,cassilandia,1546908713,-19.11,-51.73,80.03,55.0,44.0,6.87
529,uyar,1546908713,55.81,94.33,19.5,77.0,24.0,17.72
530,dukhovshchina,1546908713,55.19,32.41,10.19,86.0,68.0,12.46
531,biak,1546908714,-0.91,122.88,77.69,100.0,68.0,2.84
532,milkovo,1546907400,41.53,24.68,23.0,67.0,0.0,12.75
533,bichura,1546908714,50.59,107.6,-3.09,57.0,0.0,7.2
534,road town,1546905600,18.42,-64.62,77.0,73.0,40.0,10.29
535,takoradi,1546908714,4.89,-1.75,79.35,100.0,32.0,5.86
536,smithers,1546905600,54.78,-127.17,10.4,92.0,20.0,2.24
537,naivasha,1546908715,-0.72,36.43,43.04,73.0,68.0,2.73
538,santiago del estero,1546908715,-27.8,-64.26,78.68,72.0,0.0,5.86
539,charters towers,1546908715,-20.07,146.27,80.07,70.0,44.0,5.97
540,pareora,1546908716,-44.49,171.21,59.19,100.0,80.0,4.41
541,moa,1546908716,20.66,-74.95,70.26,79.0,0.0,4.29
542,general roca,1546905600,-39.03,-67.58,75.2,18.0,0.0,23.04
543,sao sebastiao,1546908716,-3.15,-58.36,77.42,91.0,68.0,4.07
544,itupiranga,1546905600,-5.13,-49.33,77.0,88.0,40.0,3.36
545,aksay,1546907400,47.27,39.86,21.2,92.0,75.0,20.13
546,muzhi,1546908717,65.4,64.7,-21.54,31.0,8.0,3.4
547,mount isa,1546907400,-20.73,139.49,98.6,13.0,0.0,14.99
548,lubango,1546908718,-14.92,13.49,55.86,91.0,8.0,1.16
549,aripuana,1546908718,-9.17,-60.63,76.92,94.0,92.0,2.28
550,richard toll,,,,,,,
551,pecos,1546906500,31.42,-103.49,61.99,25.0,1.0,12.75
552,dawlatabad,1546908719,36.41,64.91,50.69,79.0,92.0,15.7
553,makakilo city,1546905420,21.35,-158.09,78.15,46.0,40.0,9.17
554,itarema,1546908719,-2.92,-39.92,76.11,92.0,92.0,5.97
555,newport,1546906800,51.59,-3.0,47.86,93.0,20.0,16.11
556,saleaula,,,,,,,
557,maltahohe,1546908720,-24.83,16.98,59.37,71.0,0.0,8.21
558,ust-kan,1546908720,50.93,84.77,-8.76,42.0,32.0,2.95
559,celestun,1546908559,20.87,-90.4,76.07,93.0,0.0,16.26
560,peniche,1546905600,39.36,-9.38,38.3,100.0,0.0,1.12
561,shrigonda,1546908721,18.61,74.7,49.25,66.0,0.0,6.42
562,kamenskoye,,,,,,,
563,honiara,1546908721,-9.43,159.96,80.39,94.0,76.0,2.95
564,korla,,,,,,,
565,porto santo,,,,,,,
566,semey,1546908722,50.41,80.25,13.7,74.0,32.0,9.44
567,huarmey,1546908722,-10.07,-78.15,69.32,72.0,0.0,3.4
568,tambopata,,,,,,,
569,grindavik,1546907400,63.84,-22.43,36.34,74.0,75.0,4.7
570,ntungamo,1546908723,-0.87,30.27,58.88,86.0,44.0,2.17
571,meyungs,,,,,,,
572,mathbaria,1546908723,22.29,89.96,55.64,84.0,0.0,5.75
573,cheuskiny,,,,,,,
574,ketchikan,1546906560,55.34,-131.65,31.37,100.0,90.0,16.11
575,wilmington,1546906500,39.75,-75.55,32.09,77.0,1.0,9.44
576,pemba,1546905600,-12.97,40.52,78.8,88.0,75.0,9.17
577,dianopolis,,,,,,,
578,auriflama,1546908724,-20.68,-50.56,81.96,48.0,0.0,7.87
579,bubaque,1546908724,11.28,-15.83,78.36,99.0,88.0,8.21
580,sibolga,1546908724,1.74,98.78,68.6,98.0,56.0,2.28
581,rugby,1546907700,48.37,-100.0,23.61,85.0,1.0,20.8
582,karratha,1546908654,-20.74,116.85,88.58,45.0,0.0,3.85
583,areosa,1546905600,41.72,-8.86,45.41,39.0,0.0,11.41
584,tautira,1546907400,-17.73,-149.15,80.6,78.0,75.0,5.82
585,narsaq,1546908726,60.91,-46.05,33.05,87.0,92.0,14.36
586,vanimo,1546908511,-2.67,141.3,82.95,100.0,44.0,17.16
587,manado,1546907400,1.49,124.85,82.4,78.0,40.0,2.24
588,lahad datu,1546908726,5.02,118.33,76.74,100.0,80.0,3.74
589,katherine,1546907400,-14.47,132.26,87.8,66.0,0.0,9.17
590,saint anthony,1546905360,43.97,-111.68,22.93,74.0,1.0,12.75
591,chuy,1546908727,-33.69,-53.46,71.79,79.0,24.0,17.49
592,blatnica,1546907400,48.94,18.93,18.5,85.0,90.0,2.17
593,tilichiki,1546908728,60.47,166.1,28.28,86.0,68.0,13.24
594,urengoy,1546908507,65.96,78.37,-4.98,80.0,56.0,14.36
595,burnie,1546908500,-41.05,145.91,62.52,100.0,56.0,8.21
596,ahipara,1546908729,-35.17,173.16,76.34,67.0,36.0,6.87
597,belyy yar,1546907400,53.6,91.39,-4.01,76.0,32.0,2.95
598,valparaiso,1546907700,41.47,-87.06,53.35,93.0,75.0,17.22
599,leh,1546908730,34.16,77.58,-24.11,64.0,44.0,1.05
600,lavrentiya,1546908730,65.58,-170.99,0.56,95.0,0.0,24.87
601,kabanjahe,1546905600,3.1,98.49,73.4,94.0,40.0,1.72
602,olafsvik,,,,,,,
603,nikolsk,1546908731,59.53,45.45,15.45,78.0,92.0,10.22
604,marsa matruh,1546908505,31.35,27.25,48.39,67.0,48.0,14.25
605,zabaykalsk,1546908731,49.64,117.33,-17.81,48.0,0.0,7.99
606,zabid,1546908732,14.2,44.5,31.97,45.0,0.0,2.95
607,shar,1546908732,7.3,8.73,71.12,33.0,36.0,9.22
608,sangar,1546908732,63.92,127.47,-36.08,67.0,0.0,3.4
609,butte,1546905180,46.01,-112.54,26.06,39.0,1.0,12.75
610,lingao,1546908448,19.91,109.69,68.6,98.0,92.0,12.01
611,vangaindrano,1546908733,-23.35,47.6,70.4,100.0,92.0,2.84
612,hurricane,1546905180,37.18,-113.29,35.96,85.0,90.0,11.41
613,kommunar,1546907400,59.62,30.39,28.4,92.0,75.0,4.47
614,baruun-urt,1546908734,46.68,113.28,-17.72,46.0,0.0,9.66
615,tabiauea,,,,,,,
616,boueni,1546907400,-12.9,45.08,82.4,88.0,40.0,6.93
617,berlevag,1546908734,70.86,29.09,29.85,100.0,44.0,8.43
618,newala,1546908734,-10.94,39.28,72.29,94.0,12.0,5.64
619,nisia floresta,1546905600,-6.09,-35.21,80.6,78.0,40.0,9.17
620,christchurch,1546907400,-43.53,172.64,69.8,64.0,92.0,11.41
621,emilio carranza,1546908735,19.97,-96.61,72.42,74.0,0.0,5.19
622,lodja,1546908735,-3.52,23.6,69.59,95.0,48.0,2.39
623,kissidougou,1546908735,9.19,-10.1,66.57,35.0,0.0,6.2
624,valleyview,1546908736,55.07,-117.28,2.09,64.0,64.0,12.01
625,naliya,1546908736,23.26,68.83,44.34,71.0,0.0,6.2
626,kamaishi,1546905600,39.28,141.86,28.4,86.0,75.0,2.24
627,nam tha,,,,,,,
628,zhanatas,,,,,,,
